Total Mapping Time,UP-Index,UP-Start,UP-End,Initiation Sites,Location,Termination Sites,Location,Direction,Complete,Duration,Magnitude
,1,3,9,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,2,20,25,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,6,
,3,31,35,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,5,
,4,38,40,Middle Uterus,Center,Middle Uterus,Center,No peristalsis visualized,No,3,
,5,56,59,Middle Uterus,Center,Middle Uterus,Center,F-C(Vertical),No,4,
,6,62,65,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,7,68,71,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,4,
,8,89,95,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,7,
,9,99,106,Middle Uterus,Center,Middle Uterus,Center,Other,No,8,
,10,111,117,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,7,
,11,130,135,Cervix,Center,Middle Uterus,Center,C-F(Vertical),Yes,6,
,12,142,146,Middle Uterus,Center,Fundus,Center,C-F(Vertical),Yes,5,
,13,150,153,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,14,166,169,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,4,
,15,184,186,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,16,214,217,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,17,227,233,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,7,
,18,241,246,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,6,
,19,257,262,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,6,
,20,270,276,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,7,
,21,280,288,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,9,
,22,308,312,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,23,323,325,Middle Uterus,Center,Fundus,Center,C-F(Vertical),Yes,3,
,24,339,343,Middle Uterus,Center,Fundus,Center,Other,Yes,5,
,25,350,353,Middle Uterus,Center,Middle Uterus,Left,F-C(Vertical),No,4,
,26,360,362,Middle Uterus,Right,Fundus,Center,C-F(Vertical),No,3,
,27,370,375,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,6,
,28,381,383,Middle Uterus,Center,Middle Uterus,Center,No peristalsis visualized,No,3,
,29,387,389,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,30,395,397,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,3,
,31,409,414,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,32,422,424,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,3,
,33,446,448,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,34,456,462,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,7,
,35,470,475,Middle Uterus,Center,Middle Uterus,Center,C-F(Vertical),No,6,
,36,494,496,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,3,
,37,506,508,Middle Uterus,Center,Middle Uterus,Center,Other,No,3,
,38,518,523,Middle Uterus,Center,Cervix,Center,Other,Yes,6,
,39,536,538,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,3,
,40,549,555,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,41,560,562,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,42,567,573,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,43,580,582,Middle Uterus,Center,Middle Uterus,Center,No peristalsis visualized,No,3,
,44,588,590,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,45,595,603,Cervix,Center,Cervix,Center,Other,Yes,9,
,46,630,632,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,47,635,639,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,48,649,656,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,8,
,49,662,666,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,5,
,50,672,679,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,8,
,51,692,695,Middle Uterus,Center,Middle Uterus,Center,No peristalsis visualized,No,4,
,52,697,701,Middle Uterus,Center,Middle Uterus,Center,No peristalsis visualized,No,5,
,53,712,715,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,4,
,54,732,734,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,55,738,743,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,6,
,56,751,754,Cervix,Right,Fundus,Center,C-F(Vertical),Yes,4,
,57,760,762,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,58,770,772,Middle Uterus,Center,Fundus,Center,Other,Yes,3,
,59,781,785,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,60,798,800,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,3,
,61,806,808,Middle Uterus,Center,Cervix,Center,No peristalsis visualized,No,3,
,62,816,820,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,5,
,63,841,847,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,64,858,861,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,4,
,65,876,879,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,66,890,892,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,3,
,67,896,898,Middle Uterus,Center,Fundus,Center,No peristalsis visualized,No,3,
,68,903,905,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,3,
,69,932,936,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,70,956,958,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,71,962,966,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,5,
,72,979,981,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,3,
,73,991,996,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,74,1010,1012,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,75,1016,1021,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,76,1032,1034,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,77,1040,1046,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,78,1067,1071,Middle Uterus,Center,Fundus,Center,Other,Yes,5,
,79,1077,1083,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,80,1096,1100,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,81,1110,1113,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,82,1129,1132,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,83,1142,1146,Cervix,Right,Fundus,Center,C-F(Vertical),Yes,5,
,84,1171,1175,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,85,1195,1197,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,86,1207,1212,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,6,
