Total Mapping Time,UP-Index,UP-Start,UP-End,Initiation Sites,Location,Termination Sites,Location,Direction,Complete,Duration,Magnitude
,1,15,22,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,8,
,2,30,32,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,3,36,42,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,4,53,55,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,5,77,82,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,6,88,93,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,6,
,7,100,109,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,10,
,8,117,125,Middle Uterus,Center,Middle Uterus,Center,C-F(Vertical),No,9,
,9,141,145,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,5,
,10,149,153,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,5,
,11,162,169,Fundus,Center,Cervix,Center,F-C(Vertical),No,8,
,12,178,180,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,13,190,193,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,14,202,207,Cervix,Center,Middle Uterus,Center,F-C(Vertical),No,6,
,15,214,220,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,16,228,230,Middle Uterus,Center,Fundus,Center,Other,Yes,3,
,17,240,245,Fundus,Center,Middle Uterus,Center,Other,Yes,6,
,18,257,260,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,19,262,268,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,20,278,282,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,21,300,305,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,22,308,310,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,23,333,335,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,24,338,340,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,3,
,25,347,349,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,26,355,363,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,9,
,27,371,377,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,7,
,28,383,388,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,6,
,29,397,399,Fundus,Right,Middle Uterus,Center,F-C(Vertical),No,3,
,30,407,413,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,7,
,31,421,426,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,6,
,32,432,437,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,6,
,33,445,447,Fundus,Center,Cervix,Center,F-C(Vertical),No,3,
,34,455,458,Middle Uterus,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,35,477,479,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,3,
,36,486,490,Middle Uterus,Center,Middle Uterus,Center,Other,No,5,
,37,492,497,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,6,
,38,505,507,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,3,
,39,520,526,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,40,533,536,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,4,
,41,538,541,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,42,574,578,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,43,589,595,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,44,600,604,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,45,613,615,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,46,620,635,Cervix,Center,Cervix,Right,Other,Yes,16,
,47,642,647,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,6,
,48,659,663,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,49,665,671,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,7,
,50,689,692,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,51,710,714,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,5,
,52,717,723,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,7,
,53,727,731,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,54,744,746,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,3,
,55,752,757,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,6,
,56,768,772,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,57,780,786,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,58,794,803,Fundus,Center,Fundus,Center,Other,Yes,10,
,59,812,814,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,60,821,823,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,3,
,61,832,835,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,62,851,854,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,63,860,862,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,3,
,64,882,892,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,11,
,65,918,920,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,66,930,933,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,67,936,940,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,5,
,68,944,946,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,69,950,956,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,70,970,976,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,71,998,1002,Cervix,Center,Middle Uterus,Center,Other,Yes,5,
,72,1012,1014,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,3,
,73,1019,1024,Middle Uterus,Center,Middle Uterus,Center,C-F(Vertical),No,6,
,74,1032,1034,Fundus,Center,Cervix,Center,F-C(Vertical),No,3,
,75,1049,1056,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,8,
,76,1063,1067,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,5,
,77,1077,1080,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,4,
,78,1101,1103,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,79,1105,1112,Middle Uterus,Center,Middle Uterus,Right,Other,No,8,
,80,1118,1121,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,4,
,81,1128,1136,Cervix,Center,Fundus,Center,C-F(Vertical),No,9,
,82,1163,1167,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,83,1181,1187,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,84,1196,1202,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,7,
,85,1215,1217,Cervix,Center,Fundus,Center,Other,Yes,3,
,86,1225,1229,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,5,
